concertNumber,Date,Location,Time,Venue,eventType,season,programID,orchestra,id
20187,2011-03-24T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,11768,New York Philharmonic,ede4119e-758e-4aae-9572-ee5154bbd621
20188,2011-03-25T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Subscription Season,2010-11,10629,New York Philharmonic,24bde91d-273c-4da7-af50-c6cad32188e7
20189,2011-03-26T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10629,New York Philharmonic,24bde91d-273c-4da7-af50-c6cad32188e7
20190,2011-03-27T04:00:00Z,"Manhattan, NY",3:00PM,Merkin Concert Hall,Chamber,2010-11,10687,NY Philharmonic Ensembles,64c3de3b-4994-4b76-979f-7f92fb506a3d
20191,2011-03-30T04:00:00Z,"Manhattan, NY",6:30PM,The Stanley H. Kaplan Penthouse,Insight Series,2010-11,13739,NYP Presentation,2f7f1fb2-5b0d-40dc-994e-c263400431f6
20192,2011-03-31T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10631,New York Philharmonic,89a1f38a-c3a4-47ea-97f3-869fc2944846
20193,2011-04-01T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10631,New York Philharmonic,89a1f38a-c3a4-47ea-97f3-869fc2944846
20194,2011-04-02T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10631,New York Philharmonic,89a1f38a-c3a4-47ea-97f3-869fc2944846
20195,2011-04-02T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Young People's Concert,2010-11,11175,New York Philharmonic,78f9e599-4b24-43be-b2c2-25508f420d9d
20196,2011-04-03T04:00:00Z,"Manhattan, NY",3:00PM,Avery Fisher Hall,Chamber,2010-11,11767,NYP Presentation,7e62ded9-72fc-4a9c-a653-5226fb974dcc
20197,2011-04-05T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10632,New York Philharmonic,83a9db5d-dcf2-40c0-87f9-80e78775c655
20198,2011-04-06T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10632,New York Philharmonic,83a9db5d-dcf2-40c0-87f9-80e78775c655
20199,2011-04-07T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Non-Subscription,2010-11,10633,New York Philharmonic,73173a58-bd6a-4609-87fb-b02215b3a424
20200,2011-04-08T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Non-Subscription,2010-11,10633,New York Philharmonic,73173a58-bd6a-4609-87fb-b02215b3a424
20201,2011-04-09T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Non-Subscription,2010-11,10633,New York Philharmonic,73173a58-bd6a-4609-87fb-b02215b3a424
20202,2011-04-09T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Non-Subscription,2010-11,10633,New York Philharmonic,73173a58-bd6a-4609-87fb-b02215b3a424
20203,2011-04-11T04:00:00Z,"Manhattan, NY",10:30AM,Merkin Concert Hall,Very Young People's Concert,2010-11,11777,Musicians from the New York Philharmonic,822b093c-b2d6-4b7e-8ed7-bb7623dd26d9
20204,2011-04-11T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Pension Fund Benefit Concert,2010-11,11301,New York Philharmonic,20f253ab-25e4-4f03-9893-2522dc89b691
20205,2011-04-13T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10634,New York Philharmonic,0aec8052-7772-4699-ad15-8413f14465af
20206,2011-04-14T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10634,New York Philharmonic,0aec8052-7772-4699-ad15-8413f14465af
20207,2011-04-16T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10634,New York Philharmonic,0aec8052-7772-4699-ad15-8413f14465af
20208,2011-04-15T04:00:00Z,"Newark, NJ",8:00PM,Prudential Hall,Runout,2010-11,13574,New York Philharmonic,7d03ffd5-b59b-456a-bcba-621f70339459
20209,2011-04-17T04:00:00Z,"Manhattan, NY",12:30PM,Merkin Concert Hall,Very Young People's Concert,2010-11,13762,Musicians from the New York Philharmonic,1387a2f4-00d9-40b6-8433-cbed55dc64f7
20210,2011-04-17T04:00:00Z,"Manhattan, NY",3:00PM,Merkin Concert Hall,Very Young People's Concert,2010-11,13762,Musicians from the New York Philharmonic,1387a2f4-00d9-40b6-8433-cbed55dc64f7
20211,2011-04-27T04:00:00Z,"Manhattan, NY",6:45PM,Avery Fisher Hall,Rush Hour,2010-11,10638,New York Philharmonic,06c60f30-50fa-4be2-980c-38e2fab022bf
20212,2011-04-28T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10636,New York Philharmonic,e3a0e668-fe49-4f8e-a046-089c17830eaa
20213,2011-04-29T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Subscription Season,2010-11,10636,New York Philharmonic,e3a0e668-fe49-4f8e-a046-089c17830eaa
20214,2011-04-30T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10636,New York Philharmonic,e3a0e668-fe49-4f8e-a046-089c17830eaa
20215,2011-05-02T04:00:00Z,"Manhattan, NY",7:00PM,The Stanley H. Kaplan Penthouse,Chamber Concert (Private),2010-11,11775,Musicians from the New York Philharmonic,f94c56b3-fe2f-47fc-84ef-8cc46c7525c8
20216,2011-05-04T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10639,New York Philharmonic,eb9079a6-2965-49a6-a1c7-b32caa39e55a
20217,2011-05-06T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10639,New York Philharmonic,eb9079a6-2965-49a6-a1c7-b32caa39e55a
20218,2011-05-07T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10639,New York Philharmonic,eb9079a6-2965-49a6-a1c7-b32caa39e55a
20219,2011-05-05T04:00:00Z,"Manhattan, NY",7:00PM,Carnegie Hall,Special,2010-11,10640,New York Philharmonic,41c1eead-6241-4e8b-8cdf-989ef55985b3
20220,2011-05-11T04:00:00Z,"Zurich, SWITZERLAND",6:00PM,Volkshaus,Tour - Chamber,2010-11,13763,Musicians from the New York Philharmonic,70e60da8-0cec-4b79-88a7-9b9844337d3e
20221,2011-05-12T04:00:00Z,"Basel, SWITZERLAND",7:30PM,Musiksaal des Kasinos,Tour,2010-11,10837,New York Philharmonic,a4e4716f-f5ae-4eba-8a65-b49dc9b3f448
20222,2011-05-13T04:00:00Z,"Baden-Baden, GERMANY",8:00PM,Festspielhaus und Festspiele Baden-Baden GmbH,Tour,2010-11,11783,New York Philharmonic,ebe923f1-ad40-41f9-8b2c-e7e2d676bf9c
20223,2011-05-14T04:00:00Z,"Munich, GERMANY",8:00PM,Gasteig Philharmonie,Tour,2010-11,10642,New York Philharmonic,02232ed3-675d-45dd-bf8a-bd7557c50f5b
20224,2011-05-15T04:00:00Z,"Vienna, AUSTRIA",7:30PM,Musikverein,Tour,2010-11,10641,New York Philharmonic,35a2f256-bb40-4208-ba48-de6fb58f7397
20225,2011-05-16T04:00:00Z,"Vienna, AUSTRIA",6:00PM,US Ambassador Residence,Tour - Chamber,2010-11,11786,Musicians from the New York Philharmonic,c74d00aa-b026-4002-9122-8a6c83bb79a5
20226,2011-05-17T04:00:00Z,"Vienna, AUSTRIA",7:30PM,Musikverein,Tour,2010-11,13327,New York Philharmonic,3d1a30e2-24d3-47c6-b274-9b1371fd8bea
20227,2011-05-18T04:00:00Z,"Budapest, HUNGARY",7:30PM,Palace of Arts (Bela Bartók National Concert Hall),Tour,2010-11,10870,New York Philharmonic,2d83855c-cf28-42ff-9c13-6cbeb378546e
20228,2011-05-19T04:00:00Z,"Berlin, GERMANY",8:00PM,Philharmonie,Tour,2010-11,13324,New York Philharmonic,b4fbd61f-37fa-438f-a875-324316304981
20229,2011-05-20T04:00:00Z,"Berlin, GERMANY",6:00PM,US Ambassador Residence,Tour - Chamber,2010-11,13328,Musicians from the New York Philharmonic,8c447e9b-7d37-46e3-9b0d-8339b0baa9b8
20230,2011-05-21T04:00:00Z,"Dresden, GERMANY",8:00PM,Semperopera,Tour,2010-11,13325,New York Philharmonic,d4b64315-f969-476b-b8c8-4bb8279a3555
20231,2011-05-22T04:00:00Z,"Dresden, GERMANY",8:00PM,Semperopera,Tour,2010-11,11785,New York Philharmonic,494a1f2b-0dde-4f96-91f5-e2481517090a
20232,2011-05-23T04:00:00Z,"Leipzig, GERMANY",8:00PM,Gewandhaus,Tour,2010-11,13326,New York Philharmonic,ed093324-7514-4372-a290-dd10f6f30b33
20233,2011-05-24T04:00:00Z,"Prague, CZECH REPUBLIC",8:00PM,Smetana Hall,Tour,2010-11,11784,New York Philharmonic,0c5f4ab2-5288-4879-a3ae-f0eae688d366
20234,2011-05-30T04:00:00Z,"Manhattan, NY",8:00PM,The Cathedral Church of Saint John the Divine,St. John the Divine,2010-11,10647,New York Philharmonic,fbd80551-da6e-4d9e-be4b-a084e480785b
20235,2011-06-02T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10646,New York Philharmonic,46027258-57c0-437c-b3c9-7c2b383c0001
20236,2011-06-03T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Subscription Season,2010-11,10646,New York Philharmonic,46027258-57c0-437c-b3c9-7c2b383c0001
20237,2011-06-04T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10646,New York Philharmonic,46027258-57c0-437c-b3c9-7c2b383c0001
20238,2011-06-05T04:00:00Z,"Manhattan, NY",3:00PM,Avery Fisher Hall,Soloist Recital,2010-11,10648,NYP Presentation,c792eedb-5fd0-469a-b65e-a6ab411e934a
20239,2011-06-05T04:00:00Z,"Manhattan, NY",12:30PM,Merkin Concert Hall,Very Young People's Concert,2010-11,11686,Musicians from the New York Philharmonic,09390be9-ec8e-47e2-8d57-7188995659b7
20240,2011-06-05T04:00:00Z,"Manhattan, NY",3:00PM,Merkin Concert Hall,Very Young People's Concert,2010-11,11686,Musicians from the New York Philharmonic,09390be9-ec8e-47e2-8d57-7188995659b7
20241,2011-06-06T04:00:00Z,"Manhattan, NY",10:30AM,Merkin Concert Hall,Very Young People's Concert,2010-11,11686,Musicians from the New York Philharmonic,09390be9-ec8e-47e2-8d57-7188995659b7
20242,2011-06-08T04:00:00Z,"Manhattan, NY",6:45PM,Avery Fisher Hall,Rush Hour,2010-11,10650,New York Philharmonic,59dd277c-c999-40b5-a6b5-cc5dd80721a2
20243,2011-06-09T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10649,New York Philharmonic,5c5492df-5451-4ad8-98b9-abcd8c11006e
20244,2011-06-10T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10649,New York Philharmonic,5c5492df-5451-4ad8-98b9-abcd8c11006e
20245,2011-06-11T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10649,New York Philharmonic,5c5492df-5451-4ad8-98b9-abcd8c11006e
20246,2011-06-12T04:00:00Z,"Manhattan, NY",3:00PM,Merkin Concert Hall,Chamber,2010-11,10688,NY Philharmonic Ensembles,7b816522-a0f1-4c3a-9361-fd51b7b89a41
20247,2011-06-14T04:00:00Z,"Manhattan, NY",7:45PM,St. Regis Hotel,Chamber Concert (Private),2010-11,11787,Musicians from the New York Philharmonic,2ceb1c8e-cdb4-4eb3-aed8-8c9115904de8
20248,2011-06-14T04:00:00Z,"Manhattan, NY",6:30PM,Morgan Library,Insight Series,2010-11,13740,NYP Presentation,8c84ddcf-345f-4254-b96f-68832d9d6c53
20249,2011-06-16T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10651,New York Philharmonic,8acd9e00-fa09-4f0e-8620-9aeb9e09c45b
20250,2011-06-17T04:00:00Z,"Manhattan, NY",11:00AM,Avery Fisher Hall,Subscription Season,2010-11,10651,New York Philharmonic,8acd9e00-fa09-4f0e-8620-9aeb9e09c45b
20251,2011-06-18T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10651,New York Philharmonic,8acd9e00-fa09-4f0e-8620-9aeb9e09c45b
20252,2011-06-18T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Saturday Matinee,2010-11,10652,New York Philharmonic,218be406-dbbf-4de0-94ed-380df5553ff3
20253,2011-06-21T04:00:00Z,"Manhattan, NY",9:00PM,Racquet and Tennis Club,Chamber Concert (Private),2010-11,13664,Members of NY Philharmonic,73d7e8f7-dd5d-44d5-add6-97f2b1e0ccf6
20254,2011-06-22T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10653,New York Philharmonic,7d29efab-d88f-487c-b000-f499bb1adcaa
20255,2011-06-23T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2010-11,10653,New York Philharmonic,7d29efab-d88f-487c-b000-f499bb1adcaa
20256,2011-06-24T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10653,New York Philharmonic,7d29efab-d88f-487c-b000-f499bb1adcaa
20257,2011-06-25T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2010-11,10653,New York Philharmonic,7d29efab-d88f-487c-b000-f499bb1adcaa
20258,2011-06-28T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Summertime Classics,2010-11,11422,New York Philharmonic,5e4fc28c-a004-4006-a47b-a48dc7d196e5
20259,2011-06-29T04:00:00Z,"Manhattan, NY",7:30AM,Avery Fisher Hall,Summertime Classics,2010-11,11422,New York Philharmonic,5e4fc28c-a004-4006-a47b-a48dc7d196e5
20260,2011-06-30T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Summertime Classics,2010-11,11422,New York Philharmonic,5e4fc28c-a004-4006-a47b-a48dc7d196e5
20261,2011-07-02T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Summertime Classics,2010-11,11426,New York Philharmonic,5163e12f-d0c5-4d1c-9129-05c4355a3623
20262,2011-07-03T04:00:00Z,"Bethel, NY",8:00PM,Bethel Woods Center for the Arts,Runout,2010-11,10689,New York Philharmonic,75fa338b-68ee-4f27-977d-05c2f7034d9c
20263,2011-07-04T04:00:00Z,"Manhattan, NY",3:00PM,Avery Fisher Hall,Summertime Classics,2010-11,11717,New York Philharmonic,43bbb835-01a4-43e5-bd43-e1ac7495ceba
20264,2011-07-05T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Summertime Classics,2010-11,11789,New York Philharmonic,cd5d411e-2b4d-426e-88af-602d9796ccec
20265,2011-07-22T04:00:00Z,"Vail, CO",6:00PM,Gerald R. Ford Amphitheater,Tour,2010-11,10654,New York Philharmonic,a15fbfc0-0fc5-4e68-bf3e-b4b18d5a7ca3
20266,2011-07-23T04:00:00Z,"Vail, CO",6:00PM,Gerald R. Ford Amphitheater,Tour,2010-11,10655,New York Philharmonic,2b1ddf81-2260-4e26-8f8e-297ed8f7656a
20267,2011-07-24T04:00:00Z,"Vail, CO",6:00PM,Gerald R. Ford Amphitheater,Tour,2010-11,10656,New York Philharmonic,676d86f8-90c4-4515-85f5-540b6f55f1a3
20268,2011-07-27T04:00:00Z,"Vail, CO",6:00PM,Gerald R. Ford Amphitheater,Tour,2010-11,10657,New York Philharmonic,b3af6172-2bef-4811-bf1a-3858e6f79118
20269,2011-07-28T04:00:00Z,"Vail, CO",6:00PM,Gerald R. Ford Amphitheater,Tour,2010-11,10658,New York Philharmonic,480be48f-c6fc-4d5d-9bbf-eb1348516edc
20270,2011-07-29T04:00:00Z,"Vail, CO",6:00PM,Gerald R. Ford Amphitheater,Tour,2010-11,10659,New York Philharmonic,b7bc2795-8de5-4a4f-b0c6-7b68f26aec91
20271,2011-09-07T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Non-Subscription,2011-12,11640,New York Philharmonic,633e1a54-ed83-4241-9255-4739306ea7c5
20272,2011-09-08T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Non-Subscription,2011-12,11640,New York Philharmonic,633e1a54-ed83-4241-9255-4739306ea7c5
20273,2011-09-09T04:00:00Z,"Manhattan, NY",6:30PM,The Stanley H. Kaplan Penthouse,Insight Series,2011-12,11878,NYP Presentation,3be39ea9-dc40-48b8-a056-95cf5315ec47
20274,2011-09-10T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Special,2011-12,10691,New York Philharmonic,d6d23504-d15f-4211-91f5-83588c5b6311
20275,2011-09-15T04:00:00Z,"Manhattan, NY",8:00PM,Great Lawn,Parks,2011-12,10692,New York Philharmonic,907d3abd-448c-4816-beec-10a94c8e3976
20276,2011-09-17T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Special,2011-12,11753,New York Philharmonic,4051a6de-7db0-4dfc-b1cd-bb5fdf5f47f1
20277,2011-09-21T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,10693,New York Philharmonic,04f57dc8-ee11-47bd-8b94-36f01f64ec81
20278,2011-09-22T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,10694,New York Philharmonic,ebd6840b-a483-4c77-854b-0e083aaee230
20279,2011-09-24T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,10694,New York Philharmonic,ebd6840b-a483-4c77-854b-0e083aaee230
20280,2011-09-27T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,10694,New York Philharmonic,ebd6840b-a483-4c77-854b-0e083aaee230
20281,2011-09-23T04:00:00Z,"Katonah, NY",7:30PM,Caramoor Venetian Theater,Runout,2011-12,11627,New York Philharmonic,ace2c9f2-62a3-48e3-bda7-260f939f90ac
20282,2011-09-30T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11628,New York Philharmonic,18215d85-89d8-4a82-8fed-bd92a957ff8f
20283,2011-10-01T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11628,New York Philharmonic,18215d85-89d8-4a82-8fed-bd92a957ff8f
20284,2011-10-04T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11628,New York Philharmonic,18215d85-89d8-4a82-8fed-bd92a957ff8f
20285,2011-10-01T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Saturday Matinee,2011-12,11629,New York Philharmonic,ba3589ca-e0c0-4b45-bbf5-654447308628
20286,2011-10-05T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11633,New York Philharmonic,6b4ec019-c4fe-4f4f-b63f-0d705daa104d
20287,2011-10-06T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11633,New York Philharmonic,6b4ec019-c4fe-4f4f-b63f-0d705daa104d
20288,2011-10-07T04:00:00Z,"Manhattan, NY",11:00AM,Avery Fisher Hall,Subscription Season,2011-12,11633,New York Philharmonic,6b4ec019-c4fe-4f4f-b63f-0d705daa104d
20289,2011-10-09T04:00:00Z,"Manhattan, NY",3:00PM,Merkin Concert Hall,Chamber,2011-12,10681,NY Philharmonic Ensembles,dd7e4275-53db-40b8-8915-7a8f28169ed1
20290,2011-10-10T04:00:00Z,"Manhattan, NY",2:00PM,Alice Tully Hall,Special,2011-12,11876,Members of NY Philharmonic,e9e775fa-aad3-4ac4-b703-f8072b3485a1
20291,2011-10-11T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Chamber,2011-12,11871,NYP Presentation,f4fae494-524e-4a33-9841-089acc177dbe
20292,2011-10-12T04:00:00Z,"Manhattan, NY",7:00PM,St. Thomas More Church,Chamber Concert (Private),2011-12,11885,Musicians from the New York Philharmonic,34be2605-b178-42b6-8af2-6cb6b57dc91f
20293,2011-10-13T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11634,New York Philharmonic,f1981208-8fe1-46dc-afc4-369530b53145
20294,2011-10-14T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Subscription Season,2011-12,11634,New York Philharmonic,f1981208-8fe1-46dc-afc4-369530b53145
20295,2011-10-15T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11634,New York Philharmonic,f1981208-8fe1-46dc-afc4-369530b53145
20296,2011-10-18T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11634,New York Philharmonic,f1981208-8fe1-46dc-afc4-369530b53145
20297,2011-10-15T04:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Young People's Concert,2011-12,11635,New York Philharmonic,31160cf4-46e3-47d3-b452-89534faebf31
20298,2011-10-17T04:00:00Z,"Manhattan, NY",7:00PM,The Stanley H. Kaplan Penthouse,Chamber Concert (Private),2011-12,11888,Musicians from the New York Philharmonic,413f12a0-64a1-40b6-85e3-34e27fc319d9
20299,2011-10-20T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11636,New York Philharmonic,da892f33-b6de-42d8-a87e-989eae2feb8f
20300,2011-10-21T04:00:00Z,"Manhattan, NY",11:00AM,Avery Fisher Hall,Subscription Season,2011-12,11636,New York Philharmonic,da892f33-b6de-42d8-a87e-989eae2feb8f
20301,2011-10-22T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11636,New York Philharmonic,da892f33-b6de-42d8-a87e-989eae2feb8f
20302,2011-10-25T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Non-Subscription,2011-12,11637,New York Philharmonic,e5cfbddf-a9ee-4aad-a79a-dcc3d5f86f8a
20303,2011-10-27T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11638,New York Philharmonic,729c5a70-1e5d-4134-8916-d27994278582
20304,2011-10-28T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11638,New York Philharmonic,729c5a70-1e5d-4134-8916-d27994278582
20305,2011-10-29T04:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11638,New York Philharmonic,729c5a70-1e5d-4134-8916-d27994278582
20306,2011-11-02T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Non-Subscription,2011-12,11639,New York Philharmonic,cf230066-2cd2-4093-8b78-b91b8dda3cbf
20307,2011-11-03T04:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Non-Subscription,2011-12,11639,New York Philharmonic,cf230066-2cd2-4093-8b78-b91b8dda3cbf
20308,2011-11-04T04:00:00Z,"Montreal, CANADA",8:00PM,L'Addresse Symphonique,Tour,2011-12,11754,New York Philharmonic,b03f922b-ffff-4d85-b032-53ea65c0acfe
20309,2011-11-05T04:00:00Z,"Montreal, CANADA",2:30PM,L'Addresse Symphonique,Tour,2011-12,11755,New York Philharmonic,8eb736f9-e469-4f84-af75-ce25a2345c4c
20310,2011-11-10T05:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11641,New York Philharmonic,ffa5a33c-576e-41fd-b8cd-b50ab296f8b9
20311,2011-11-11T05:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11641,New York Philharmonic,ffa5a33c-576e-41fd-b8cd-b50ab296f8b9
20312,2011-11-12T05:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11641,New York Philharmonic,ffa5a33c-576e-41fd-b8cd-b50ab296f8b9
20313,2011-11-15T05:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11641,New York Philharmonic,ffa5a33c-576e-41fd-b8cd-b50ab296f8b9
20314,2011-11-12T05:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Young People's Concert,2011-12,11642,New York Philharmonic,3a40be24-5ef5-4c1b-8f0b-a30ba0b6f31b
20315,2011-11-14T05:00:00Z,"Staten Island, NY",7:30PM,"Center for the Arts, College of Staten Island / CUNY",Chamber,2011-12,11889,Musicians from the New York Philharmonic,e037810e-7c65-410c-b31d-edd9581c620b
20316,2011-11-17T05:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11643,New York Philharmonic,19ea6f6a-76df-42e0-9358-7f4a1be16e95
20317,2011-11-18T05:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11643,New York Philharmonic,19ea6f6a-76df-42e0-9358-7f4a1be16e95
20318,2011-11-19T05:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11643,New York Philharmonic,19ea6f6a-76df-42e0-9358-7f4a1be16e95
20319,2011-11-20T05:00:00Z,"Manhattan, NY",3:00PM,Merkin Concert Hall,Chamber,2011-12,11316,NY Philharmonic Ensembles,73bf8254-ed6b-4241-814a-bf98b8927d8c
20320,2011-11-22T05:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11644,New York Philharmonic,b99168c5-67c2-4569-a1ae-2ae6520bf9dc
20321,2011-11-25T05:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11644,New York Philharmonic,b99168c5-67c2-4569-a1ae-2ae6520bf9dc
20322,2011-11-26T05:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11644,New York Philharmonic,b99168c5-67c2-4569-a1ae-2ae6520bf9dc
20323,2011-11-29T05:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11644,New York Philharmonic,b99168c5-67c2-4569-a1ae-2ae6520bf9dc
20324,2011-11-26T05:00:00Z,"Manhattan, NY",2:00PM,Avery Fisher Hall,Saturday Matinee,2011-12,11645,New York Philharmonic,b69e5366-edc0-4805-b5db-f5649771d210
20325,2011-12-01T05:00:00Z,"Manhattan, NY",7:30PM,Avery Fisher Hall,Subscription Season,2011-12,11646,New York Philharmonic,d28d05fe-d44d-45ed-9c75-bb9e618e63d9
20326,2011-12-02T05:00:00Z,"Manhattan, NY",11:00AM,Avery Fisher Hall,Subscription Season,2011-12,11646,New York Philharmonic,d28d05fe-d44d-45ed-9c75-bb9e618e63d9
20327,2011-12-03T05:00:00Z,"Manhattan, NY",8:00PM,Avery Fisher Hall,Subscription Season,2011-12,11646,New York Philharmonic,d28d05fe-d44d-45ed-9c75-bb9e618e63d9
20328,2011-12-03T05:00:00Z,"Manhattan, NY",3:00PM,The Stanley H. Kaplan Penthouse,Chamber,2011-12,11971,Musicians from the New York Philharmonic,fa76a3b9-2a28-447b-83ec-5d6535b40fa4
20329,2011-12-04T05:00:00Z,"Manhattan, NY",3:00PM,Merkin Concert Hall,Chamber,2011-12,11757,NY Philharmonic Ensembles,c85227ae-1970-4a27-bdb4-aaf29a0c34aa
